Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA0310300,INDIAN GRINDING ROCK-CALAVERAS DISTRICT,NC,D1,TD,AMADOR  ,GW
CA0310803,LA MESA VINEYARDS,NC,D1,TD,AMADOR  ,GW
CA0310804,BELLEDOR VINEYARDS,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0310805,BLOOD GULCH,NC,,There are no treatment plants,AMADOR  ,GW
CA0390004,CITY OF PLYMOUTH - RECYCLED WATER,NP,,There are no treatment plants,AMADOR  ,
CA0390801,PRESTON YOUTH CORRECTIONAL FACILITY,NP,,There are no treatment plants,AMADOR  ,
CA0390901,CITY OF IONE/ARSA/CASTLE OAKS RECYCLE,NP,,There are no treatment plants,AMADOR  ,
CA0390903,CITY OF SUTTER CREEK/ARSA,NP,,There are no treatment plants,AMADOR  ,
CA0390904,MULE CREEK PRISON RECYCLED WATER,NP,,There are no treatment plants,AMADOR  ,
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,C,D1,TD,BUTTE  ,GW
CA0400003,HARTLEY MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,C,D1,TD,BUTTE  ,GW
CA0400008,GRAN MUTUAL WATER CO,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400010,PSEA CAMP - DESABLA,NC,NR,TD,BUTTE  ,GW
CA0400012,FARM LABOR HOUSING,C,D2,T2,BUTTE  ,GW
CA0400013,MERRY MOUNTAIN MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400014,LAKE MADRONE WATER DISTRICT,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400019,OROVILLE MOBILE HOME PARK,C,D1,TD,BUTTE  ,GW
CA0400020,PLEASANT GROVE MHP,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400021,ROBINSON'S CORNER MHP,C,D1,TD,BUTTE  ,GW
CA0400023,GOLDEN OAKS MOBILE ESTATES,C,D1,TD,BUTTE  ,GW
CA0400026,MEADOWBROOK OAKS,C,D1,TD,BUTTE  ,GW
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,C,D1,TD,BUTTE  ,GW
CA0400030,GOLDEN FEATHER MHP,C,D1,TD,BUTTE  ,GW
CA0400040,ALMOND GROVE MOBILE PARK,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400042,FOREST VILLAGE LLC,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400051,DINGERVILLE USA PARK,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400060,HONCUT ELEMENTARY SCHOOL,NTNC,D1,T1,BUTTE  ,GW
CA0400062,RICHVALE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0400063,MANZANITA ELEMENTARY SCHOOL,NTNC,D1,TD,BUTTE  ,GW
CA0400064,CONCOW ELEMENTARY SCHOOL,NTNC,D1,T3,BUTTE  ,GW
CA0400065,SPRING VALLEY SCHOOL,NTNC,D1,TD,BUTTE  ,GW
CA0400067,FEATHER RIVER SCHOOL,NTNC,D1,TD,BUTTE  ,GW
CA0400070,BUTTE-GLENN COMMUNITY COLLEGE DIST,NTNC,D1,TD,BUTTE  ,GW
CA0400073,NORD COUNTRY SCHOOL,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0400078,FOREST KNOLLS MUTUAL WATER CO,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400079,FOREST RANCH CHARTER SCHOOL,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0400081,FEATHER RIDGE ESTATES WATER CO,C,D1,TD,BUTTE  ,GW
