Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA3590004,HOLLISTER RW PROJECT,NP,,There are no treatment plants,SAN BENITO  ,
CA3600008,APPLE VALLEY FOOTHILL CWD,C,D1,TD,SAN BERNARDINO  ,GW
CA3600009,APPLE VALLEY HEIGHTS CWD,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600010,LIBERTY UTILITIES APPLE VALLEY,C,D1,TD,SAN BERNARDINO  ,GW
CA3600011,GREEN VALLEY CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600012,APPLE VALLEY VIEW MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600022,BAKER COMMUNITY SERVICES DISTRICT,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600025,BAR-LEN MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600027,"BAR ""H"" MWC",C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600031,BIG PINE TRACT,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600032,OAK TREE VILLAGE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600036,CALICO GHOST TOWN,NTNC,D1,T3,SAN BERNARDINO  ,GW
CA3600044,CAL TRANS - DESERT OASIS,NC,NR,TD,SAN BERNARDINO  ,GW
CA3600062,CAILLIER WATER SYSTEM,NTNC,D1,T2,SAN BERNARDINO  ,GW
CA3600064,CAMP WATERMAN MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600070,CENTER WATER CO,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600071,CHAMISAL MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600086,DAGGETT COMM SVCS DIST,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600087,DEER LODGE WATER SYSTEM,C,D1,T2,SAN BERNARDINO  ,GW
CA3600088,DESERT DAWN MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600089,DESERT SPRINGS MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600094,DOGWOOD BLUE JAY CYN IMP,C,D1,T2,SAN BERNARDINO  ,GW
CA3600105,LAUREL PINES CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600106,FOREST HOME CHRISTIAN CC,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600107,FOREST PARK MWC,C,D1,TD,SAN BERNARDINO  ,GW
CA3600108,GLEN HELEN WATER SYSTEM,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600114,CSA 70 W-3 HACIENDA,C,D1,TD,SAN BERNARDINO  ,GW
CA3600123,HI DESERT MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600133,OAK GLEN RETREAT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600139,JUBILEE MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600141,MITSUBISHI CEMENT PLANT CUSHENBURY,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600149,"OG INVESTMENTS, LLC",NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600152,LOMA LINDA UNIVERSITY,C,D2,T2,SAN BERNARDINO  ,GW
CA3600154,LOS RIOS RANCHO WATER SYSTEM,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600155,RIVER RANCH MHP,C,D1,TD,SAN BERNARDINO  ,GW
CA3600156,LUCERNE VALLEY MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600157,LUCERNE VISTA MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600158,LYTLE SPRINGS WC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600166,MILL CREEK MSC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600172,MP MINE OPERATIONS LLC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600180,NAVAJO MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600183,NIPTON WATER AND POWER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600184,NORTH SHORE MWC,C,D1,T2,SAN BERNARDINO  ,GW
CA3600185,OAK GLEN DOMESTIC WATER,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600187,OLIVE DELL RANCH,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600192,PG & E PIPELINE OPERATION,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600193,PARK MOABI,NTNC,D1,T2,SAN BERNARDINO  ,GW
CA3600196,CSA 70 W-4 PIONEERTOWN,C,D1,TD,SAN BERNARDINO  ,GW
CA3600200,RANCHERITOS MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600205,REDLANDS COLONY PIPELINE ASSOCIATION,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600209,ROCKY COMFORT MUTUAL WATER CO,C,D1,There are no treatment plants,SAN BERNARDINO  ,SWP
CA3600215,GILBERT STREET COMPLEX,C,D1,TD,SAN BERNARDINO  ,GW
CA3600220,CSA 42 ORO GRANDE,C,D1,TD,SAN BERNARDINO  ,GW
CA3600222,JUNIPER RIVIERA CWD,C,D1,TD,SAN BERNARDINO  ,GW
CA3600226,CSA 70-F MORONGO,C,D1,TD,SAN BERNARDINO  ,GW
CA3600257,R W RANCH,NC,NR,TD,SAN BERNARDINO  ,GW
CA3600258,SKY FOREST MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,SWP
CA3600260,SMILEY PARK COUNTRY CLUB,C,D1,T1,SAN BERNARDINO  ,GW
CA3600262,SNOWCREST HEIGHTS IMP ASSOC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600279,GOLDEN STATE WATER DESERT VIEW,C,D1,TD,SAN BERNARDINO  ,GW
CA3600283,DEPARTMENT OF WATER AND POWER,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600297,GORDON ACRES WATER CO,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600301,STRAWBERRY LODGE MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600306,THUNDERBIRD CWD,C,D1,T1,SAN BERNARDINO  ,GW
CA3600308,GLEN HELEN TRUCK PARKING FACILITY,NC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600321,NPS - HOLE IN THE WALL CAMPGROUND,NC,NR,TD,SAN BERNARDINO  ,GW
CA3600323,NPS - ZZYZX DESERT STUDIES CENTER,NC,NR,T1,SAN BERNARDINO  ,GW
CA3600345,WEST END MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600356,RAINBO BEACH,NC,NR,TD,SAN BERNARDINO  ,GW
CA3600360,SEVEN OAKS MT RESORT MHP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600365,RIVERLAND RESORT,NC,NR,T2,SAN BERNARDINO  ,SW
CA3600367,RIO DEL COLORADO,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600368,EMERALD COVE RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600370,WINDMILL RESORT,NC,NR,T2,SAN BERNARDINO  ,SW
CA3600371,CALIZONA RV PARK,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600372,PALMS RIVER RESORT,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600375,RIVER LODGE RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600376,BIG BEND RESORT,NC,NR,T2,SAN BERNARDINO  ,SW
CA3600377,ECHO LODGE RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600378,SUNSHINE RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600380,BLACK MEADOW LANDING,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600382,MWD OF SO CAL IRON MOUNTAIN,C,D1,T2,SAN BERNARDINO  ,SW
CA3600383,MWD OF SO CAL GENE PLANT,C,D1,T2,SAN BERNARDINO  ,SW
CA3600384,BONITA RANCH RV CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600385,BROOKSIDE MHP,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600386,FOOTHILL ESTATES MHP,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600388,DESERT VIEW MOBILE PARK,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600391,HILLCREST MOBILE ESTATES,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600393,LONE WOLF COLONY,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600395,BIG BEAR SHORES RV RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600397,MOSS MOBILE MANOR,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600399,PARADISE MOBILE ESTATES,C,D1,TD,SAN BERNARDINO  ,GW
CA3600400,APPLE VALLEY VILLAGE MHE,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600404,SHADY LANE RV CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600406,NEWBERRY MOUNTAIN RV & MOTEL,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600409,BARSTOW CALICO KOA,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600412,LIGHTHOUSE TRAILER RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600415,ARROWHEAD PINE ROSE CABIN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600432,LUCERNE VALLEY ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600446,UPPER LITTLE BEAR MOUNTAIN CLUB,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600452,LUCERNE VALLEY PARKS & RECREATION,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600453,APPLE VALLEY HORSEMAN CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600478,LYTLE CREEK ADMINISTRATION SITE,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600481,HANNA FLATS CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600483,BIG PINE FLATS ADMIN & RECREATION,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600485,FALLS PICNIC WATER SYSTEM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600490,CRAB FLATS CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600500,STATELINE SERVICES INC,NTNC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600504,KNOLL ENTERPRISES,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600509,SLASH X RANCH CAFE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600510,AMERICAN LEGION POST 751,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600512,RILEYS PLACE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600513,PEGGY SUE'S DINER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600524,BARN THE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600530,YMCA CAMP ARBOLADO,NC,NR,T2,SAN BERNARDINO  ,SW
CA3600532,CAMP SKY MEADOWS,NC,NR,TD,SAN BERNARDINO  ,GW
CA3600534,DE BENNEVILLE PINES,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600536,CAMP LA VERNE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600537,YMCA CAMP TA TA POCHON,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600538,CAMP CEDAR FALLS,NC,NR,T2,SAN BERNARDINO  ,SW
CA3600540,PALMS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600554,MOOSE LODGE 2096,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600568,JOSHUA INN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600585,THOUSAND PINES CHRISTIAN,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600586,CEDAR LAKE CAMP INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600587,CAMP OSITO RANCHO,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600588,YMCA CAMP WHITTLE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600589,HOLCOMB VALLEY RANCH,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600591,CAMP OAKES,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600593,CAMP CEDAR CREST,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600595,CALVARY CHAPEL CHRISTIAN CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600596,PONDEROSA PINES CHRISTIAN CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600597,PALI OVERNIGHT ADVENTURES,NTNC,D1,T2,SAN BERNARDINO  ,GW
CA3600600,CAMP GILBOA,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600601,FOREST LAWN SCOUT RESERVATION,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600602,ALPINE RETREAT AND CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600604,DOVID OVED RETREAT CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600608,TWENTYNINE PALMS INN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600613,VIDAL CHEVRON,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600620,MOUNTAIN STREAMS RV PARK,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600704,CHURCH OF SPIRITUAL TECHNOLOGY,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600707,SNOW SUMMIT,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600756,OAK GLEN CHRISTIAN CONFERENCE CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600760,LOCH LEVEN CHRISTIAN CAMP & CONFERENCE C,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600765,SNOW VALLEY MOUNTAIN RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600767,CAMP TAHQUITZ,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600768,INSTITUTE OF MENTAL PHYSICS,NC,NR,T2,SAN BERNARDINO  ,GW
CA3600770,CRAZZY'S WASEWAGAN CAMP,NC,NR,T2,SAN BERNARDINO  ,SW
CA3600771,CAMP ALANDALE,NC,NR,TD,SAN BERNARDINO  ,GW
CA3600772,UCLA UNICAMP - CAMP RIVER GLEN,NC,D1,T2,SAN BERNARDINO  ,SW
CA3600776,MT BALDY SKI LIFT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600777,CAMP ROUND MEADOW,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600783,SKY MOUNTAIN CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600784,MACLIN MARKETS,NC,NR,T2,SAN BERNARDINO  ,GW
CA3600785,LAKE JODIE WATER SYSTEM,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600790,NEWBERRY ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3600797,AERONAUTICAL SYSTEMS,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601004,NEEDLES KOA,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601006,JOSHUA TREE LAKE RV/CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601010,CRYSTAL LAKE PROPERTY OWNERS,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601012,SOSAS WATER SYSTEM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601013,DARR WATER CO,NTNC,D1,T2,SAN BERNARDINO  ,GW
CA3601015,IRONWOOD CAMP,C,D1,T2,SAN BERNARDINO  ,GW
CA3601016,THE HIGH ADOBE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601019,BAGDAD CAFE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601020,SILVERWOOD JAPANESE RESTAURANT SUSHI & G,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601027,APPLE VALLEY FAITH CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601036,CALICO LAKE HOMEOWNERS,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601037,PARRISH RANCH,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601040,HIDDEN ACRES,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601045,BEAR VALLEY MHP,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601047,WRIGHTWOOD COUNTRY CLUB,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601048,BARTON FLATS WATER SYSTEM,C,D1,T2,SAN BERNARDINO  ,SW
CA3601051,CEMEX - ALABAMA,NTNC,D1,T1,SAN BERNARDINO  ,GW
CA3601052,NEWBERRY SPRINGS SENIOR CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601057,MOUNTAIN VIEW CONTINUATION SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601061,CALPORTLAND ORO GRANDE PLANT,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601062,CEMEX CALIF CEMENT LLC VV,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601064,"OMYA CALIFORNIA, A DIVISION OF OMYA INC",NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601070,CADIZ INC,NC,NR,TD,SAN BERNARDINO  ,GW
CA3601077,BEST WESTERN CAJON PASS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601082,CASTLE MOUNTAIN MINE,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601085,RANCHO PINO VERDE,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601089,GEN AMERICAN TRANS CORP,NTNC,D1,TD,SAN BERNARDINO  ,GW
CA3601095,LUCERNE VALLEY HIGH SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601096,CAL TRANS - C.V. KANE,NC,NR,T2,SAN BERNARDINO  ,GW
CA3601097,CAL TRANS - VALLEY WELLS,NC,NR,TD,SAN BERNARDINO  ,GW
CA3601098,CAL TRANS - FENNER,NC,NR,TD,SAN BERNARDINO  ,GW
CA3601100,NEWBERRY MINI MART AND TRUCK STOP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601101,NEWBERRY CHEVRON,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601105,HI SAHARA OASIS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601106,HITCHIN LUCERNE INC,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601107,SAN ANTONIO WINERY,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601108,HOLLAND BURGER CAFE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601109,KELLY'S MARKET,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601112,PINE RIDGE TREATMENT CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601113,SS HERT TRUCKING INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601115,EL MIRAGE MARKET,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601117,ARTESIA SAWDUST PRODUCTS,NTNC,D1,TD,SAN BERNARDINO  ,GW
CA3601121,PETROLINK HWY 138 INC,NTNC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601122,PRIMM VALLEY GOLF CLUB,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601128,EMPIRE LANDING CAMPGROUND-SUNDANCE RV,NC,NR,T2,SAN BERNARDINO  ,SW
CA3601130,CEMEX CALIF CEMENT LLC AV,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601131,BURGER KING #9310,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601133,WAGON TRAIN ROAD LLC,NTNC,D1,TD,SAN BERNARDINO  ,GW
CA3601134,RELAX INN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601135,ARROWHEAD REGIONAL MEDICAL CENTER,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GWP
CA3601137,LIZZE ENTERPRISES,NC,NR,T1,SAN BERNARDINO  ,GW
CA3601139,CAMP HEART BAR EQUESTRIAN GROUP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601140,SOUTH FORK CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601141,CAMP MORNING STAR,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601143,DESERT VIEW RV RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601144,HINKLEY SENIOR REC CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601145,VICTOR VALLEY  WASTEWATER RECLAM,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601147,RILEY'S FARM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601148,RILEY'S LOG CABIN FARM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601150,BIG BEAR ADMINISTRATION,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601151,NEWBERRY COMMUNITY SERVICES,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601152,MOJAVE RIVER FORKS REGIONAL PARK,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601155,SPECIALTY MINERALS INC,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601157,APPLEWHITE CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601158,HELENDALE CSD COMMUNITY CENTER,NC,NR,T1,SAN BERNARDINO  ,GW
CA3601159,CALIFORNIA STEEL INDUSTRIES,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,SWP
CA3601161,EL COYOTE LOCO,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601162,VFW POST 5551,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601163,CSA 29 MIDWAY PARK,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601165,OAK GLEN STEAK HOUSE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601166,SHADY COVE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601168,NORTHSHORE RV RESORT INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601169,CAJON PASS SHELL,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601170,MOLLY BROWN'S COUNTRY CAFE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601171,ABRAHAM MAIDA WATER SYSTEM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601172,FENDERS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601173,BOLO STATION RV PARK & SNACK BAR,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601175,RASOR ROAD SERVICE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601176,JOHNSON VALLEY COMMUNITY CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601179,EL MIRAGE SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601181,IVANPAH SOLAR THERMAL POWER PLANT,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601182,HIGH DESERT DETENTION CENTER,C,D1,T3,SAN BERNARDINO  ,GW
CA3601183,CALI BURGER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601184,MOJAVE SOLAR PROJECT ALPHA POWER PLANT,NTNC,D1,T2,SAN BERNARDINO  ,GW
CA3601185,MOJAVE SOLAR PROJECT BETA POWER PLANT,NTNC,D1,T2,SAN BERNARDINO  ,GW
CA3601187,ROUTE 66 MARKET,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601188,NEWBERRY SPRINGS GAS STATION & MINI-MART,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601189,8986 DEEP CREEK ROAD,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601190,DOLLAR GENERAL STORE # 14280,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3601191,GABLES WATER COMPANY,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW
CA3610001,"ADELANTO, CITY OF",C,D3,T2,SAN BERNARDINO  ,GW
CA3610002,ALPINE WATER USERS ASSOCIATION,C,D2,T2,SAN BERNARDINO  ,SWP
CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,C,D5,TD,SAN BERNARDINO  ,GW
CA3610004,WEST VALLEY WATER DISTRICT,C,D5,T5,SAN BERNARDINO  ,SW
CA3610005,LAKE ARROWHEAD CSD,C,D4,T3,SAN BERNARDINO  ,SW
CA3610006,WATER FACILITIES AUTHORITY-JPA,C,D4,T5,SAN BERNARDINO  ,SW
CA3610008,BIG BEAR CITY CSD,C,D3,T3,SAN BERNARDINO  ,GU
CA3610009,BIGHORN - DESERT VIEW WATER AGENCY,C,D2,TD,SAN BERNARDINO  ,GW
CA3610011,CEDARPINES PARK MWC,C,D2,T1,SAN BERNARDINO  ,SWP
CA3610012,"CHINO, CITY OF",C,D5,T4,SAN BERNARDINO  ,SWP
CA3610013,"LOMA LINDA, CITY OF",C,D3,T3,SAN BERNARDINO  ,GW
CA3610014,"COLTON, CITY OF",C,D5,T2,SAN BERNARDINO  ,GW
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,C,D3,T2,SAN BERNARDINO  ,SWP
CA3610016,GLEN MARTIN MWC,C,D1,TD,SAN BERNARDINO  ,GW
CA3610017,HAVASU WC,C,D1,T2,SAN BERNARDINO  ,SW
CA3610018,CUCAMONGA VALLEY WATER DISTRICT,C,D5,T5,SAN BERNARDINO  ,SW
CA3610019,SAN BERNARDINO VALLEY WD,C,D4,TD,SAN BERNARDINO  ,GW
CA3610021,FALLSVALE SERVICE COMPANY,C,D1,TD,SAN BERNARDINO  ,GW
CA3610022,DWP - FAWNSKIN,C,D1,T2,SAN BERNARDINO  ,GU
CA3610023,GREEN VALLEY MWC,C,D2,TD,SAN BERNARDINO  ,SWP
CA3610024,HESPERIA WD,C,D5,TD,SAN BERNARDINO  ,GW
CA3610025,JOSHUA BASIN WATER DISTRICT,C,D3,TD,SAN BERNARDINO  ,GW
